0,1,2,3,4,5,6,7,8,9,10,11,12
0,-5.1304,-4.0432,-4.8089,-9.5097,-1.289,-7.0608,-1.5826,-2.4796,-1.166,-1.6145,-2.448,-1.2699
0,-7.4553,-3.2394,-4.2041,-11.114,-0.539,-5.2866,-1.9672,1.1009,-0.77029,-2.394,-1.6577,-1.307
0,-6.8753,-3.2016,-5.1494,-9.4634,-0.33244,-4.2149,-2.7509,-1.9581,-1.4855,-2.3758,-1.7451,-1.2778
0,-7.3868,-1.9376,-5.4872,-9.9291,-0.50746,-5.6172,-1.2672,-1.4328,-2.3469,-2.8028,-2.8547,-2.1959
0,-8.1083,-2.5624,-4.1783,-9.2771,-0.36996,-5.0515,-1.6385,-1.7163,-0.98453,-2.7017,-3.3025,-0.78379
0,-6.0046,-3.974,-5.1913,-10.495,-0.34114,-5.4889,-0.032773,-0.93979,-1.7916,-2.6937,-4.1522,-1.0334
0,-8.7539,-4.3907,-5.7411,-7.942,-1.2227,-5.2704,-2.5261,-2.9515,-2.3826,-2.1097,-3.7432,0.038917
0,-5.4053,-5.7119,-4.3057,-11.406,-0.40338,-3.5168,-1.7034,-1.837,-1.9763,-2.4031,-4.6675,-1.6851
0,-4.8597,-5.2564,-4.7781,-9.6162,-1.9614,-4.2729,0.0010627,-0.93358,-1.6309,-3.375,-3.7684,-1.0287
0,-10.202,-5.6354,-5.1373,-6.5787,-2.353,-4.1271,-0.78504,-1.9979,-0.78305,-0.99851,-1.3209,-0.018763
0,-11.983,-3.1139,-6.7846,-5.6092,-2.9732,-4.0782,-1.4078,-2.2215,-2.1947,-2.5169,-1.5171,-0.19438
0,-11.291,-6.2063,-3.9786,-11.056,2.4593,-4.4931,6.7695,-4.4949,-5.1429,0.71177,-1.6134,0.31555
0,-11.307,-2.3599,-4.571,-11.404,-2.3268,-5.6994,4.7559,-3.3707,-1.6935,-0.3937,-3.4464,-0.98196
0,-10.766,-2.5964,-4.2796,-13.324,-1.4136,-5.3863,5.6258,-4.0352,-0.5482,0.10289,-6.0311,-1.1666
0,-11.779,-3.8726,-2.9397,-10.014,-0.79138,-2.958,2.5684,-3.8231,-1.9764,-1.2395,-1.7502,-1.079
0,-9.394,-3.3744,-2.1573,-12.862,-3.5406,-4.0682,2.823,-4.3546,-1.3787,-0.27757,-4.5443,-2.0297
0,-9.5048,-3.9295,-3.4918,-10.212,-1.5239,-4.5774,1.1565,-4.4229,-4.7686,-0.56554,-4.6312,-2.4107
0,-12.208,-3.5565,-1.9923,-10.864,-2.2595,-1.0341,0.36397,-2.259,-0.73213,-1.1875,-2.2331,-1.4131
0,-10.15,-1.3926,-2.1338,-14.632,-2.791,-4.1185,2.7572,-2.8005,-1.5901,0.3222,-5.0775,-1.574
0,-10.909,-2.9429,-4.3228,-9.1596,-2.6694,-2.9199,0.51278,-4.0502,-1.176,-1.8002,-2.5789,-0.74833
0,-10.616,-2.7872,-3.475,-10.382,-3.6826,-3.1506,0.77963,-4.7729,-1.906,-0.83871,-3.6763,-1.8293
0,-10.261,-0.49824,-3.169,-11.128,-2.7602,-6.1642,-0.70283,-2.7464,-1.549,-0.85578,-1.7435,-1.8973
0,-11.408,-4.0868,-5.4463,-7.9132,0.58802,-2.4685,1.4597,-3.0728,-1.7851,-2.0114,-2.5428,-0.22423
0,-6.5493,-2.0937,-4.0585,-13.686,-2.1338,-4.842,1.7539,-2.7607,-2.1928,-0.18213,-5.556,-1.3207
0,-5.1796,1.8882,-5.4704,-12.298,-2.8408,-5.825,-2.4548,-0.71691,-2.1683,-0.92149,-4.5059,-1.4986
0,-4.4713,-1.0829,-4.0611,-12.617,-5.4018,-3.3439,-0.80522,-0.26628,-2.7027,-0.43686,-3.6123,-1.6751
0,-5.6871,-3.5247,-5.5524,-10.599,-1.9117,-4.1818,-0.068281,-1.8647,-3.818,-1.0518,-2.1028,-1.5063
0,-6.0211,-2.4881,-3.3452,-10.989,-4.2307,-1.1685,-0.80322,-2.3222,-3.7955,-1.9769,-4.908,-0.19863
0,-3.9449,-4.1249,-7.4037,-10.404,-3.7121,-2.1452,-0.8993,-0.60024,-1.3381,-0.39378,-3.5908,-0.53676
0,-4.9658,1.1616,-3.5237,-13.361,-4.1362,-4.2327,-1.8819,-0.19186,-2.8927,-1.3168,-4.047,-1.1008
0,-9.3831,-3.3054,-4.7117,-11.815,-3.2052,-3.0331,-2.3103,-1.2938,-1.2444,-2.5467,-3.3346,0.37901
0,-5.6094,-2.27,-2.9644,-13.926,-2.5735,-4.7504,-1.8381,-1.3891,-1.1073,0.88389,-2.8814,0.13125
0,-6.911,-0.050013,-4.6702,-12.733,-1.4642,-4.5926,-3.3651,-0.11364,-2.8619,-1.803,-4.1566,-1.1279
0,-6.3623,-1.8477,-5.6278,-9.368,-3.5878,-4.1649,-1.3423,-0.14568,-1.9421,-1.6123,-2.8074,-0.45166
0,-2.466,-0.15515,-5.1089,-8.8235,-3.1812,-7.4405,-1.0045,-2.7973,-3.9502,0.38339,-6.1143,-0.61166
0,-3.9436,0.52511,-3.5128,-10.657,-4.1806,-3.1916,-1.5138,-2.3688,-4.6638,-1.9632,-5.8638,-0.5319
0,-6.9994,-2.24,-5.8164,-8.0107,-4.7407,-1.7302,-1.745,-1.945,-3.0695,-3.1779,-2.6987,-2.3005
0,-7.7776,-4.8091,-5.4694,-0.24475,-6.4563,-0.8244,-1.1136,-2.7839,-0.78322,-3.1936,-1.5177,-3.3877
0,-9.363,0.66343,-4.5902,-7.6534,-2.5235,-1.8105,0.54426,-3.5687,-0.19817,-2.6672,-0.94221,-1.0529
0,-9.7979,-3.3151,-5.8527,-6.3488,-2.573,-1.9759,2.1925,-4.4208,1.5233,-2.4194,0.21695,0.21518
0,-7.886,0.0072021,-9.4224,-9.4943,1.695,-4.4634,-1.2186,-2.6033,-2.1654,-0.18451,0.83258,-2.105
0,-10.412,-3.7118,-7.5961,-3.4722,0.41739,-6.2308,-0.84864,-0.92912,9.748,-0.8476,-1.4099,-4.7918
0,-10.213,-5.5562,-3.0595,-8.4833,-1.0434,-1.1636,-0.83401,-4.7243,-1.4665,-1.3052,0.46373,-0.011156
0,-8.2898,-1.6339,-5.8021,-11.275,-1.1484,-3.3657,3.1005,-4.9886,0.13504,-3.6746,-2.3761,-0.43944
0,-8.1953,-1.0692,-5.8103,-8.2464,-2.9513,-3.972,-2.0934,-4.6615,-0.95389,-0.9535,1.039,0.45222
0,-7.2058,-7.5485,-6.6038,-5.7666,-0.34213,-4.5621,-0.058035,-3.7342,-2.0788,0.1706,0.61914,0.60416
0,-8.8055,-1.9041,-4.6857,-7.8988,-2.2402,-1.7149,0.076496,-5.2096,-0.17398,-2.3637,-1.1137,1.536
0,-8.6785,-2.5667,-3.9489,-4.4881,-3.8598,-4.3025,0.3854,-4.7001,-1.3262,-0.16399,-1.0845,0.22623
0,-7.8849,-3.6889,-5.2655,-4.5014,-3.4149,-2.5003,0.22398,-2.1035,-3.2875,-2.9953,-2.1316,1.236
0,-5.3074,-0.62451,-7.3394,-8.7596,-1.3357,-0.75521,2.9823,-3.4096,-3.3815,-5.475,-2.9953,1.5576
0,-10.409,-1.8305,-7.0975,-4.1809,-3.8012,-0.61551,-0.82129,-4.5191,-2.1662,0.14674,1.7955,-0.31027
0,-6.7071,-2.9765,-6.8558,-7.6544,-3.1351,-4.333,1.4798,-3.2125,-0.92407,-3.4035,-1.3307,0.53218
0,-8.283,-1.1454,-5.0666,-8.7396,-4.2821,-1.9518,-2.1652,-4.0707,3.47,-2.4943,-1.8006,-0.53735
0,-9.236,0.8528,-4.5854,-10.459,-5.2991,-3.2874,-3.2233,-3.545,1.7043,-2.8943,-2.2251,-0.3782
0,-12.236,-0.90774,-4.0777,-8.639,-2.8965,-0.90536,-4.956,-1.0356,1.3343,-2.9771,-1.6939,-0.70983
0,-9.4825,-4.5384,-4.2511,-7.8352,-4.0168,-1.6197,-1.6301,-2.5277,0.12344,-2.8648,-2.9526,-1.5114
0,-7.3339,1.6784,-2.0312,-14.621,-4.9067,-6.5586,-5.4914,-1.306,3.6573,-1.8454,-0.37308,-0.11506
0,-9.2267,-3.2883,-1.4335,-13.322,-3.8449,-0.753,-3.058,-4.0218,2.4032,-1.402,-2.026,0.063943
0,-9.1322,-5.3632,-2.0375,-11.447,-3.0582,1.573,-0.77995,-4.0519,1.328,-1.7565,-3.8246,-0.98612
0,-9.735,-2.5093,-2.2985,-13.143,-4.0708,-1.8031,-3.5142,-2.2342,1.835,-0.77558,-2.9163,0.1717
0,-9.039,-2.4132,-1.9779,-11.302,-5.2567,-0.68683,-4.6092,-1.927,0.35755,-0.28735,-3.4284,-1.0286
0,-9.5429,-0.080034,-1.8485,-14.134,-3.1148,-3.4945,-6.3995,-1.5343,0.2288,-2.2823,-0.16249,-2.8136
0,-11.671,-2.0377,-1.5017,-8.5799,-0.37034,-3.2868,-3.4915,-2.7338,-0.22191,-1.9365,-2.8437,-2.5886
0,-12.628,-3.8831,-4.3308,-5.9332,-3.2285,-1.6333,-2.5923,-3.7459,-0.51669,-2.4292,-2.132,-1.1955
0,-10.817,-3.5983,-4.2262,-8.7017,-3.3216,-3.296,-1.1707,-0.79323,-0.069426,-2.4839,-2.3143,-2.2538
0,-2.9081,-5.0349,-5.8905,-9.0028,-8.4006,-3.0983,3.3568,-0.12885,-3.4848,-0.81776,-2.1994,-1.1488
0,-4.1556,-3.2169,-4.6125,-9.5177,-5.5671,-3.1511,-1.9877,-0.58471,-0.65042,-0.45071,-1.1089,-0.49343
