0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
0,5.6841,6.3569,7.1062,7.2565,7.9337,7.4652,7.7016,7.6986,7.7231,7.9343,7.9815,8.0383,7.921,8.0186,8.0363,8.2095,8.4907,8.635,8.7436,8.3954
0,5.9511,6.5696,7.2912,7.655,8.1039,7.7491,8.119,8.3996,8.3292,8.6112,8.6833,8.7171,8.8396,8.8421,8.5863,8.4469,8.3624,8.4163,8.5549,8.154
0,5.9847,6.8105,7.4309,8.0062,8.4334,7.9468,7.9844,7.9249,7.6465,7.804,7.8053,7.8569,7.9488,8.0873,8.1765,8.3642,8.4886,8.5599,8.5442,8.1157
0,6.1639,6.7542,7.2213,8.0149,8.1612,8.5169,8.7962,8.9145,8.7975,8.8376,8.8509,8.8288,8.6746,8.7153,8.6092,8.4602,8.5226,8.7472,8.6469,8.2196
0,5.4399,5.967,6.5592,7.1612,7.4937,7.5753,7.8282,7.9824,7.9768,8.1199,8.2,8.2223,8.5444,8.7822,8.6562,8.4081,8.3491,8.4443,8.504,8.123
0,5.6946,6.3428,6.9447,7.6488,7.9358,7.6339,7.6809,7.6417,7.6313,7.7151,7.7383,7.8783,8.2117,8.4124,8.39,8.3941,8.5166,8.5964,8.6392,8.1475
0,5.34,5.8831,6.5643,7.2015,7.607,7.363,7.3157,7.2201,7.2628,7.3721,7.3996,7.5159,7.7786,8.0711,8.1887,8.3216,8.4587,8.553,8.6481,8.1574
0,4.9408,5.4333,6.1508,6.7893,6.9967,7.0937,7.2632,7.205,7.262,7.3703,7.4548,7.5718,7.7505,8.016,8.1319,8.0707,7.9699,7.9316,7.9562,7.6305
0,6.0881,6.6879,7.2656,7.7259,8.1203,8.1273,8.4218,8.5539,8.6349,8.6993,8.5804,8.5599,8.6768,8.8262,8.7873,8.7398,8.7218,8.7925,8.7673,8.2737
0,5.2465,5.9547,6.6066,7.3221,7.5642,7.2777,7.0137,6.8383,6.8563,6.879,6.9526,7.1022,7.3298,7.5566,7.8249,8.0167,8.0422,8.1112,8.037,7.7304
0,4.7304,5.1985,5.8033,6.5233,6.6076,6.6545,6.984,7.2195,7.3912,7.397,7.4394,7.5449,7.7282,8.0079,7.9882,7.7616,7.6331,7.8172,7.9845,7.6675
0,5.2777,5.8718,6.6653,7.4055,7.3369,7.2203,7.4003,7.5299,7.5453,7.6938,7.6314,7.7008,7.7886,7.9123,7.8192,7.7042,7.7224,7.8605,7.9416,7.711
0,3.8106,3.875,4.6739,5.0503,5.3405,5.5774,5.7456,5.7494,5.9568,6.1035,6.3926,6.7638,6.6997,6.8438,6.9856,7.0452,7.1206,7.3658,7.6371,7.5292
0,5.1987,5.6606,6.3574,6.8104,7.0987,7.6074,7.7763,7.7493,7.8074,7.9247,7.969,8.3447,8.6229,8.7664,8.6621,8.6008,8.6998,8.9019,9.0156,8.7622
0,3.3517,3.9315,4.5869,5.0598,5.5728,5.7668,5.9164,6.1524,6.2136,6.2582,6.3454,6.4109,6.627,6.7426,6.8741,7.0951,7.2177,7.4454,7.6659,7.5989
0,6.4486,6.6837,7.4664,7.9189,8.3978,8.4082,8.6032,8.5869,8.3487,8.3732,8.4716,8.6749,9.0211,9.3467,9.7654,9.9347,10.041,10.415,11.033,10.39
0,5.979,6.2961,7.3233,7.5439,7.7944,8.6718,8.5413,8.3739,8.2742,8.3746,8.4583,8.7275,9.0119,9.1789,9.2716,9.4826,9.7115,10.248,10.153,9.7226
0,6.0817,6.3356,7.1167,7.1139,7.5094,8.0473,8.2181,8.3767,8.3626,8.4002,8.4418,8.7506,8.9246,9.1492,9.5228,9.7812,9.9394,10.347,10.987,10.634
0,5.7971,6.1666,7.141,7.0304,7.617,7.8718,7.9156,7.7538,7.7995,7.7982,8.05,8.4832,8.5487,8.5979,8.8557,9.0695,9.4854,10.017,10.364,9.8923
0,6.1338,6.3868,7.0579,7.5057,7.7898,7.9412,8.5296,8.6385,8.5163,8.7283,8.6286,8.8686,9.0927,9.2724,9.4587,9.7259,10.017,10.341,10.848,10.427
0,6.2262,6.5233,7.2604,7.481,7.726,8.1448,8.6144,8.604,8.5616,8.7009,8.8473,9.1871,9.4936,9.7602,9.9699,10.141,10.429,10.54,10.481,10.161
0,4.8881,5.1954,5.9134,6.3594,6.4365,7.0313,7.3327,7.3077,7.2695,7.4168,7.5611,7.8705,8.343,8.6311,8.669,8.7413,8.8728,9.2689,9.544,9.2751
0,6.5345,6.7756,7.5587,7.8916,8.2205,8.6194,8.8969,8.7837,8.7958,8.7726,8.9841,9.2133,9.2845,9.4868,9.7585,10.019,10.427,10.878,11.185,10.684
0,5.4414,5.7687,6.6113,6.8095,7.4585,7.8057,7.7717,7.8535,7.7386,7.812,7.9004,8.1868,8.5817,8.8633,9.0354,9.331,9.7658,9.9195,10.215,9.9722
0,6.4736,6.7998,7.676,7.9008,8.5058,8.6762,8.8394,8.6087,8.4432,8.5108,8.735,8.8818,8.9557,9.2032,9.5666,9.9584,10.346,10.859,11.083,10.527
0,6.5549,7.0455,7.8859,7.7334,8.0489,8.2663,8.3427,8.0417,7.9462,7.9576,8.0837,8.2347,8.2948,8.41,8.6712,9.0174,9.3184,9.7199,9.7506,9.7847
0,3.9751,4.6803,5.4144,5.4542,5.4893,5.6292,5.7768,5.8483,5.8927,6.1372,6.1861,6.3775,6.6241,6.8588,7.1303,7.4317,7.5055,7.5664,7.4575,7.4747
0,5.2929,5.9896,6.7256,6.8453,6.9299,7.0547,7.1224,7.1193,7.1179,7.1526,7.2742,7.562,7.8926,8.1837,8.2717,8.3987,8.4948,8.4472,8.4348,8.2464
0,1.5639,2.1557,2.68,2.7216,2.7782,2.9364,3.1727,3.3311,3.4556,3.6617,3.7587,3.9015,4.0138,4.0078,4.2006,4.3941,4.4114,4.4909,4.4964,4.5258
0,5.7363,6.4477,7.1094,7.2116,7.2011,7.1288,7.0608,7.0684,7.124,7.2934,7.2812,7.3674,7.5858,7.6844,7.7568,7.9829,8.1165,8.2537,8.0939,7.9354
0,6.4001,7.1438,7.7527,7.6119,7.435,7.2863,7.2538,7.2359,7.2003,7.164,7.2739,7.4778,7.6516,7.835,8.1194,8.4827,8.6018,8.6148,8.4814,8.1648
0,2.3822,3.0867,3.7546,3.9858,4.0506,4.3122,4.5142,4.7648,4.9788,5.1831,5.2133,5.4206,5.7607,5.9609,5.964,6.1457,6.2622,6.4118,6.4137,6.4975
0,4.6618,5.3781,6.1647,6.0458,6.0211,6.183,6.3983,6.396,6.2935,6.3636,6.4393,6.7501,7.0575,7.2096,7.5076,7.8732,7.9946,8.0439,7.9367,7.7188
0,5.097,5.8761,6.6562,6.4741,6.2853,6.1894,6.141,6.1201,5.9853,6.0098,6.0691,6.2959,6.5174,6.6713,7.011,7.6592,7.8947,7.8789,7.8099,7.5702
0,1.3496,1.9841,2.6566,2.8811,3.0117,3.2924,3.5441,3.7833,3.9811,4.2369,4.3604,4.5987,4.8992,4.9415,4.9952,5.2744,5.405,5.5405,5.5362,5.6688
0,6.095,6.8737,7.6435,7.5043,7.4658,7.5581,7.5595,7.5351,7.3762,7.5094,7.6121,7.6647,7.6758,7.6693,7.7949,8.0388,8.0851,8.1729,8.2129,8.0707
0,4.4556,5.1492,5.8485,5.833,5.6849,5.7321,5.8885,5.9821,5.9604,6.0825,6.1834,6.4339,6.6776,6.7035,6.8154,7.1763,7.3493,7.472,7.2591,7.2285
0,1.1332,1.7174,2.328,2.6274,2.8565,3.2392,3.4044,3.6602,3.8478,4.1027,4.2886,4.5057,4.728,4.9768,5.1236,5.2447,5.4111,5.5944,5.6848,5.7319
0,3.5301,4.2708,5.258,5.0625,5.4366,5.4409,5.7877,5.9498,6.0621,6.058,6.0572,6.217,6.5383,6.8816,7.1127,7.2377,7.4367,7.576,7.666,7.438
0,4.8004,5.5945,6.6815,6.1555,6.768,6.6274,6.7838,6.8979,6.9505,6.9676,6.988,7.0893,7.3682,7.7262,8.0666,8.3942,8.7214,8.6123,8.4566,8.1768
0,4.0534,4.7098,5.5078,5.1543,5.7981,5.5797,5.8908,5.9722,6.2061,6.2132,6.2681,6.4764,7.0712,7.4757,7.5841,7.6445,7.7938,7.8131,7.8849,7.7081
0,5.0829,5.9639,6.8162,6.3152,6.9348,6.5895,6.6837,6.812,6.7438,6.7511,6.9383,6.9671,7.2897,7.5143,7.4976,7.6161,7.7949,7.8157,7.9091,7.7046
0,4.7728,5.7655,6.4294,6.212,6.8236,6.5389,6.5614,6.5637,6.4867,6.4219,6.3505,6.3324,6.6848,7.0128,7.4352,7.7026,7.787,7.9026,8.1466,7.7976
0,4.1644,5.0897,5.664,5.7061,6.1094,6.1841,6.1258,6.0363,5.9731,5.9722,6.0783,6.1366,6.5099,6.9031,7.2666,7.5564,7.5698,7.4908,7.7219,7.4831
0,3.8668,4.8299,5.2948,5.3977,5.5859,5.6089,5.8673,6.3049,6.2898,6.3251,6.529,6.6668,7.0225,7.0471,6.9539,6.8771,6.9702,7.0151,7.2996,7.2703
0,5.0441,6.0612,6.6894,6.4066,7.1398,6.8548,7.15,7.3199,7.0826,6.9939,6.9721,7.115,7.3611,7.5989,7.7579,7.7963,7.9755,8.1047,8.3637,8.0049
0,3.6807,4.6376,5.1196,5.2734,5.5134,5.5372,5.7813,5.9834,5.9947,6.09,6.084,6.1461,6.488,6.6716,6.7669,6.7932,6.9307,7.0449,7.2102,7.1382
0,5.004,6.0017,6.7468,6.3999,6.9837,6.8133,7.2235,7.5065,7.3487,7.3331,7.3699,7.4364,7.6599,7.6504,7.4891,7.4109,7.516,7.7288,8.0081,7.7103
0,4.8997,5.8173,6.4288,6.5251,7.0607,7.1226,7.1556,7.2308,7.1293,7.146,7.1864,7.2126,7.335,7.5604,7.6617,7.6903,7.7451,7.8304,8.0229,7.8972
0,4.5992,5.4954,6.2249,6.1266,6.6739,6.5183,6.8086,7.0025,6.7645,6.7295,6.7309,6.7018,7.038,7.2073,7.258,7.2995,7.3553,7.359,7.6895,7.6304
0,3.6543,4.2954,5.0603,5.1638,5.5481,5.5388,5.7248,5.7864,5.8178,5.9157,6.0827,6.1996,6.5467,6.8544,7.0349,7.0452,7.1469,7.2597,7.5301,7.4883
0,4.4798,5.2895,6.0153,5.8889,6.5029,6.4429,6.6292,6.523,6.5418,6.5128,6.5913,6.8216,7.0384,7.2644,7.4058,7.4917,7.8035,7.9401,8.146,7.8825
0,4.0487,4.905,5.4823,5.6171,5.9069,6.0062,6.0649,6.0994,6.1027,6.1392,6.2217,6.3423,6.5983,6.7227,6.7677,6.9469,7.33,7.3676,7.3628,7.341
