@relation 'features_mfcc_hamming_avg4s-weka.filters.unsupervised.attribute.Reorder-R2,3,4,5,6,7,8,9,10,11,12,13,1-weka.filters.unsupervised.attribute.Discretize-unset-class-temporarily-B2-M-1.0-Rlast'

@attribute 1 numeric
@attribute 2 numeric
@attribute 3 numeric
@attribute 4 numeric
@attribute 5 numeric
@attribute 6 numeric
@attribute 7 numeric
@attribute 8 numeric
@attribute 9 numeric
@attribute 10 numeric
@attribute 11 numeric
@attribute 12 numeric
@attribute 0 {'\'(-inf-0.5]\'','\'(0.5-inf)\''}

@data
-8.6502,-2.1758,-7.5435,-13.249,-4.0078,-5.5701,-5.1005,-1.4643,-4.5045,-4.1867,-5.6735,-2.1983,'\'(-inf-0.5]\''
-5.5183,-3.503,-7.5315,-10.867,-5.6924,-7.45,-3.9907,-3.2681,-4.9928,-4.4091,-5.5232,-2.7035,'\'(-inf-0.5]\''
-3.9983,0.74686,-6.0757,-11.662,-6.4439,-10.068,-3.5864,-5.3139,-7.0039,-2.2124,-8.9778,-2.5156,'\'(-inf-0.5]\''
-6.0289,-2.5132,-5.4207,-13.969,-5.4413,-5.0105,-2.8256,-3.4504,-5.7032,-2.779,-7.3272,-1.6652,'\'(-inf-0.5]\''
-7.0937,-2.928,-7.3609,-7.582,-8.3187,-1.7924,-3.8394,-5.37,-4.8865,-5.4932,-4.4336,-5.9365,'\'(-inf-0.5]\''
-8.869,-5.3759,-7.2835,-3.4264,-8.1842,-4.0381,-3.3647,-5.0437,-1.9698,-5.8526,-4.4103,-5.0006,'\'(-inf-0.5]\''
-11.331,-0.11521,-5.1038,-8.7624,-4.0522,-3.0563,-0.72691,-3.9978,-2.1756,-4.1044,-2.1835,-2.5862,'\'(-inf-0.5]\''
-10.895,-7.5962,-9.7408,-10.41,-4.6399,-5.1966,-0.30357,-6.2303,-1.9807,-5.2969,-2.2317,-0.59825,'\'(-inf-0.5]\''
-11.029,0.79186,-11.484,-12.474,-1.1605,-7.0718,-5.0919,-5.755,-1.8415,0.41117,0.97443,-3.5839,'\'(-inf-0.5]\''
-13.465,-7.9843,-10.483,-7.0774,-1.4441,-8.8821,-2.0725,-1.8822,11.339,-0.13222,-3.726,-8.1947,'\'(-inf-0.5]\''
-11.428,-5.2113,-6.0659,-11.959,-4.1379,-3.1033,-1.9496,-5.5508,-2.2649,-4.1908,-0.59838,-1.2923,'\'(-inf-0.5]\''
-9.9208,-2.2506,-8.6401,-14.778,-3.309,-8.4818,0.5352,-9.2122,-3.4486,-6.4741,-5.7592,-3.1395,'\'(-inf-0.5]\''
-8.8832,-6.3567,-5.7867,-8.7331,-4.6828,-3.5939,-4.424,-6.1093,-2.8313,-0.43706,1.3587,-0.13268,'\'(-inf-0.5]\''
-8.8651,-6.5107,-9.4453,-7.3549,-3.9678,-7.8045,-2.5053,-5.2978,-3.5306,-2.2977,-1.1932,-0.24669,'\'(-inf-0.5]\''
-9.8708,-2.9814,-5.8897,-10.115,-3.949,-3.7714,-1.4919,-6.9425,-1.6091,-3.9172,-2.7062,0.32701,'\'(-inf-0.5]\''
-8.7182,-5.37,-6.7921,-8.2099,-5.6028,-6.1806,-1.2921,-7.5976,-3.8314,-1.8608,-3.477,-1.2201,'\'(-inf-0.5]\''
-8.944,-3.1161,-6.1179,-4.7319,-4.4936,-2.1601,0.081518,-1.7561,-4.8318,-6.6805,-2.558,1.5317,'\'(-inf-0.5]\''
-6.7148,-1.2499,-9.1534,-10.917,-4.1614,-3.7411,-0.001149,-6.7408,-5.8095,-6.4109,-4.3284,-0.45968,'\'(-inf-0.5]\''
-11.387,-4.3442,-8.0626,-6.3579,-5.1282,-2.7021,-2.2161,-6.7634,-3.1709,-0.43424,0.033498,-1.2764,'\'(-inf-0.5]\''
-8.2674,-3.6796,-9.5759,-11.751,-8.6595,-6.5191,-1.2312,-7.0296,-2.5067,-8.412,-4.8635,-2.3084,'\'(-inf-0.5]\''
-8.5993,-0.43656,-6.5804,-12.648,-3.9127,-6.0207,-5.6829,-3.8517,2.3673,-3.198,-1.7913,-1.339,'\'(-inf-0.5]\''
-10.928,-1.2223,-5.616,-10.61,-7.6679,-3.8816,-5.2706,-5.2326,0.38164,-2.5975,-4.5176,0.13173,'\'(-inf-0.5]\''
-13.123,-2.0112,-5.1628,-9.0295,-3.2829,-2.3446,-6.2996,-2.0367,-0.4897,-4.8476,-2.57,-2.7337,'\'(-inf-0.5]\''
-9.2949,-4.649,-4.5201,-12.6,-6.3865,-3.9684,-3.3921,-3.8041,0.66727,-3.2941,-3.8882,-1.601,'\'(-inf-0.5]\''
-7.6979,1.088,-3.3334,-16.916,-6.7651,-8.9454,-7.8271,-2.9181,2.8396,-2.7698,-0.9683,-1.0054,'\'(-inf-0.5]\''
-10.956,-6.2661,-3.9301,-13.656,-4.7158,0.024556,-4.9451,-6.8471,0.23297,-3.009,-3.8201,-1.0437,'\'(-inf-0.5]\''
-9.2426,-5.913,-3.3853,-15.744,-6.5182,-1.2651,-2.3259,-4.6064,0.95149,-2.4994,-5.7455,-1.3879,'\'(-inf-0.5]\''
-11.515,-3.0117,-3.8794,-12.789,-4.9429,-3.2741,-5.8434,-3.6115,0.25026,-2.2549,-3.2687,-1.5202,'\'(-inf-0.5]\''
-8.4789,-3.6558,-3.0434,-14.638,-6.7421,-1.7712,-5.8978,-2.6413,-1.23,-0.82536,-4.3507,-2.4607,'\'(-inf-0.5]\''
-11.994,0.020401,-3.5295,-14.918,-4.2127,-5.4268,-8.9364,-3.0635,-0.087255,-4.0856,-1.2337,-3.5075,'\'(-inf-0.5]\''
-11.63,-2.3894,-2.4806,-9.1512,-1.7985,-4.6411,-4.3427,-4.2221,-1.0115,-1.9517,-3.7127,-2.3842,'\'(-inf-0.5]\''
-13.035,-5.29,-4.9147,-8.6805,-5.0622,-2.62,-3.2005,-5.4114,-0.6067,-3.8361,-3.5462,-2.5954,'\'(-inf-0.5]\''
-10.306,-5.5376,-6.7721,-8.0143,-4.4742,-4.9021,-1.2723,-1.7198,-3.1137,-3.5246,-2.5484,-2.3052,'\'(-inf-0.5]\''
-3.2634,-3.1901,-5.618,-12.377,-10.879,-4.8248,0.22806,-1.8105,-2.913,-0.94421,-3.5544,-2.5792,'\'(-inf-0.5]\''
-5.9192,-5.4073,-6.7537,-10.24,-6.6171,-5.7526,-2.9061,-1.0077,-2.5492,-2.1422,-2.6729,-2.0738,'\'(-inf-0.5]\''
-4.7093,-5.3111,-5.3967,-13.009,-8.4331,-2.7778,-1.0028,-5.3899,-4.4682,-1.3967,-6.3184,-3.1595,'\'(-inf-0.5]\''
-6.1904,-3.4571,-5.13,-13.824,-8.455,-4.0014,-2.94,-3.1707,-2.1962,0.57158,-4.6179,-2.3027,'\'(-inf-0.5]\''
-7.3207,-4.9881,-5.25,-8.8269,-8.0866,-5.2931,-0.72944,-3.2436,-2.1832,-1.6312,-2.641,-2.3879,'\'(-inf-0.5]\''
-7.1871,-5.677,-6.256,-9.9728,-7.3399,-1.5873,1.3306,-7.2188,-4.6021,-0.45033,-3.6623,-0.30749,'\'(-inf-0.5]\''
-7.4934,-4.3361,-5.223,-9.7507,-7.0372,-4.1605,-0.47686,-3.549,-4.4169,-0.27312,-4.0479,-1.4514,'\'(-inf-0.5]\''
-11.485,-5.2459,-4.6714,-7.7379,-5.8756,-4.5794,0.073279,-2.9538,-2.3365,0.62917,-2.6073,0.58385,'\'(-inf-0.5]\''
-6.5104,-3.0032,-4.3061,-11.641,-8.3214,-3.3409,-0.26557,-5.5042,-2.2567,0.65387,-5.0967,-1.0397,'\'(-inf-0.5]\''
-10.969,-5.1236,-6.1363,-7.7647,-6.6834,-4.1901,-0.85238,-2.0832,-0.76441,0.20754,-2.6956,-0.33468,'\'(-inf-0.5]\''
-7.292,-6.6712,-5.1394,-9.8987,-5.454,-2.9286,-0.004452,-3.0432,-3.1078,-0.16504,-4.0394,-1.1786,'\'(-inf-0.5]\''
-11.442,-7.0223,-5.6108,-7.1455,-3.7815,-1.5097,2.6096,-4.1345,-4.2269,-0.88569,-2.6144,0.67435,'\'(-inf-0.5]\''
-4.0562,-2.5867,-7.3565,-10.714,-9.2459,-7.9687,0.43052,-2.3426,-1.7762,-3.3707,-4.0573,-0.39756,'\'(-inf-0.5]\''
-8.3501,-2.5414,-2.3821,-12.138,-7.5573,-5.701,-2.2657,-3.6802,0.6971,-0.47536,-4.0262,-2.133,'\'(-inf-0.5]\''
-8.1028,-2.5087,-4.3192,-11.954,-5.1891,-5.0264,0.036464,-4.0688,-0.80637,-2.8685,-4.4337,-2.3101,'\'(-inf-0.5]\''
-9.7532,-3.6447,-2.1144,-5.416,-3.4644,-1.4339,1.4918,-1.3847,-1.2104,-1.6409,-2.3267,-3.536,'\'(-inf-0.5]\''
-7.7132,-2.3228,-4.6367,-12.623,-6.6768,-9.0168,-3.1505,-2.5697,-0.36037,-2.8953,-2.8317,-3.9223,'\'(-inf-0.5]\''
-6.6009,-0.92922,-3.7562,-12.532,-6.9738,-7.3145,-4.645,-3.5831,-0.53596,-1.8993,-2.7882,-2.5792,'\'(-inf-0.5]\''
-7.6746,-0.609,-3.2197,-13.612,-7.6575,-6.3789,-4.6181,-2.5985,-0.51205,-3.7747,-2.4086,-2.8637,'\'(-inf-0.5]\''
-10.567,-2.5527,-0.77947,-8.5858,-3.5983,-1.3925,-1.2157,-2.8289,0.23486,-2.0551,-3.0851,-1.6462,'\'(-inf-0.5]\''
-5.887,0.94134,-5.0121,-12.706,-7.2059,-9.8621,-4.0137,-3.8108,-0.70041,-1.4859,-4.0547,-2.913,'\'(-inf-0.5]\''
-6.7263,-0.83361,-3.4066,-16.248,-6.7398,-8.6831,-4.3765,-3.1236,-0.2206,-2.2348,-4.8631,-2.8076,'\'(-inf-0.5]\''
-6.5372,-1.9321,-3.4393,-10.6,-6.5351,-4.1296,-2.1668,-3.7979,-1.4676,-2.1706,-3.22,-2.4011,'\'(-inf-0.5]\''
-9.8893,-2.4436,-1.3503,-8.9116,-1.9725,-0.39224,-0.5302,0.23815,0.028365,-2.2008,-1.6128,-2.4734,'\'(-inf-0.5]\''
-6.1431,-1.8951,-5.4149,-11.68,-7.1415,-10.841,-4.1852,-4.0153,-1.2958,-2.2926,-3.0162,-3.0431,'\'(-inf-0.5]\''
-10.792,1.3998,-4.6695,-15.935,-6.1079,-9.6916,-2.8861,-6.1814,0.8116,-5.6253,-3.0492,-2.7273,'\'(-inf-0.5]\''
-15.354,3.8719,-5.8829,-11.557,-4.8535,-9.8489,-2.1813,-7.8502,1.1153,-4.4727,-0.65369,-0.089266,'\'(-inf-0.5]\''
-15.479,-5.8024,-6.1575,-4.2492,-3.9041,-3.5998,-2.7739,-3.1496,0.30341,-2.4512,-1.1084,-1.9675,'\'(-inf-0.5]\''
-11.093,-3.0069,-12.32,-10.1,-2.0988,-13.022,-0.18073,-7.5982,-1.6224,-4.4793,-3.1578,-1.0115,'\'(-inf-0.5]\''
